Keyword,Rank,Total_Tweets,Percentile,Pro_Ruling_Pct,Pro_Opposition_Pct
democracy,50,12763,99.95,36.12,53.06
ayodhya,160,5912,99.83,70.13,15.78
unemployment,246,4296,99.75,12.13,75.26
inflation,336,3431,99.65,28.21,48.94
mahotsav,424,2854,99.56,96.64,2.03
islamists,614,2085,99.36,96.79,0.58
lynching,743,1775,99.23,68.06,25.35
minorities,824,1614,99.15,39.71,48.08
hathras,942,1457,99.02,23.61,67.4
bhakts,1023,1359,98.94,10.3,88.08
spyware,1075,1314,98.89,7.46,84.47
gdp,1452,994,98.49,24.55,68.21
balochistan,1500,957,98.45,96.03,0.94
aatmanirbhar,1617,883,98.32,88.34,4.87
msp,1904,741,98.03,69.64,19.16
dictatorship,2273,617,97.64,16.21,66.29
sharia,2323,605,97.59,94.55,2.81
demonetisation,2522,555,97.39,10.45,75.68
ratetvdebate,2740,509,97.16,0.0,100.0
suicides,2760,504,97.14,17.26,75.6
sangh,4184,300,95.66,73.33,26.0
ucc,5895,187,93.89,55.08,20.86
