keyword,keyword_column_count,fallback_text_count,total_count
aatmanirbhar,883,2343,3226
ayodhya,5912,2971,8883
balochistan,957,241,1198
bhakts,1359,3759,5118
caa,1441,6530,7971
china,22075,8594,30669
congress,93520,60912,154432
democracy,12762,14095,26857
demonetisation,555,1123,1678
dictatorship,617,270,887
farm laws,0,8333,8333
farmers protests,0,788,788
gdp,994,4961,5955
hathras,1457,5454,6911
hindu,21437,31841,53278
hindutva,4093,3325,7418
inflation,3431,1625,5056
islamists,2085,826,2911
kashmir,19767,13063,32830
kashmiri pandits,0,2409,2409
lynching,1774,898,2672
mahotsav,2852,1728,4580
minorities,1614,2888,4502
modi,768,178735,179503
msp,741,4295,5036
muslim,14487,13857,28344
new parliament,0,3561,3561
rahulgandhi,40091,24048,64139
ram mandir,0,3758,3758
ratetvdebate,509,216,725
sangh,300,4434,4734
shaheen bagh,0,2393,2393
sharia,605,491,1096
spyware,1312,228,1540
suicides,504,133,637
ucc,187,866,1053
unemployment,4295,2227,6522
TOTAL,263384,418219,681603
